"Statistic Label","CensusYear","Sex","Single Year of Age","UNIT","VALUE"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","46 years","Number","1099"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","47 years","Number","1160"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","48 years","Number","1287"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","49 years","Number","1228"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","50 years","Number","1328"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","51 years","Number","1314"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","52 years","Number","1442"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","53 years","Number","1307"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","54 years","Number","1410"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","55 years","Number","1421"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","56 years","Number","1445"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","57 years","Number","1524"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","58 years","Number","1481"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","59 years","Number","1505"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","60 years","Number","1491"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","61 years","Number","1566"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","62 years","Number","1556"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","63 years","Number","1480"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","64 years","Number","1492"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","65 years","Number","1432"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","66 years","Number","1302"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","67 years","Number","1357"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","68 years","Number","1260"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","69 years","Number","1290"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","70 years","Number","1199"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","71 years","Number","1257"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","72 years","Number","1272"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","73 years","Number","1333"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","74 years","Number","1261"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","75 years","Number","1321"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","76 years","Number","1277"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","77 years","Number","1241"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","78 years","Number","1300"
